FID,sa4_code21,sa4_name21,sa4,week,resp_n_1920,resp_rate_1920,resp_n_1419,resp_rate_1419,asth_n_1920,asth_rate_1920,asth_n_1419,asth_rate_1419,copd_n_1920,copd_rate_1920,copd_n_1419,copd_rate_1419,bre_n_1920,bre_rate_1920,bre_n_1419,bre_rate_1419,hea_n_1920,hea_rate_1920,hea_n_1419,hea_rate_1419,heaa_n_1920,heaa_rate_1920,heaa_n_1419,heaa_rate_1419,cere_n_1920,cere_rate_1920,cere_n_1419,cere_rate_1419,ches_n_1920,ches_rate_1920,ches_n_1419,ches_rate_1419,men_n_1920,men_rate_1920,men_n_1419,men_rate_1419,burn_n_1920,burn_rate_1920,burn_n_1419,burn_rate_1419,deh_n_1920,deh_rate_1920,deh_n_1419,deh_rate_1419
s4_geo.fid--2c346315_187d5bf56ff_599e,101,Capital Region,101,2020-02-16T00:00:00,175,76.84369659,182,79.16140747,19,8.34302998,24,10.43886662,8,NaN,NaN,NaN,16,7.02570963,16,6.95924473,69,30.29837227,50,21.74764061,11,4.8301754,7,NaN,13,5.70838928,NaN,NaN,102,44.78889847,94,40.8855629,88,38.6414032,103,44.80014038,18,7.90392351,11,4.78448105,8,NaN,13,5.65438652
s4_geo.fid--2c346315_187d5bf56ff_599f,101,Capital Region,101,2020-02-23T00:00:00,207,90.89511871,183,79.59636688,21,9.22124386,17,7.39419746,NaN,NaN,9,NaN,19,8.34302998,14,6.08933926,58,25.46819878,59,25.66221619,10,4.39106846,9,NaN,12,5.26928234,6,NaN,104,45.66711426,87,37.84089279,107,46.98443222,95,41.32051849,8,NaN,17,7.39419746,5,NaN,6,NaN
s4_geo.fid--2c346315_187d5bf56ff_59a0,102,Central Coast,102,2019-09-01T00:00:00,256,74.91053009,268,77.90335083,21,6.14500475,21,6.10436726,18,5.26714659,20,5.81368303,28,8.19333935,40,11.62736607,59,17.26453781,80,23.25473213,8,NaN,19,5.52299881,19,5.55976582,19,5.52299881,88,25.75049591,108,31.39388847,107,31.31026077,97,28.19636345,19,5.55976582,5,NaN,NaN,NaN,6,NaN
s4_geo.fid--2c346315_187d5bf56ff_59a1,102,Central Coast,102,2019-09-08T00:00:00,261,76.37362671,302,87.78661346,22,6.43762398,15,4.36026239,13,3.80405045,19,5.52299881,27,7.90072012,28,8.13915634,75,21.94644547,77,22.38268089,15,4.3892889,11,3.19752574,15,4.3892889,24,6.97641993,113,33.06597519,102,29.64978409,84,24.58001709,86,24.99883652,8,NaN,18,5.23231459,NaN,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_59a2,102,Central Coast,102,2019-09-15T00:00:00,236,69.05814362,265,77.03130341,22,6.43762398,29,8.42984009,17,4.97452736,15,4.36026239,30,8.7785778,34,9.88326073,81,23.70215988,81,23.54541588,10,2.92619252,15,4.36026239,8,NaN,20,5.81368303,113,33.06597519,105,30.52183533,96,28.09144974,80,23.25473213,6,NaN,13,3.77889395,NaN,NaN,6,NaN
s4_geo.fid--2c346315_187d5bf56ff_59a3,102,Central Coast,102,2019-09-22T00:00:00,222,64.96147919,225,65.40393829,15,4.3892889,15,4.36026239,13,3.80405045,8,NaN,30,8.7785778,26,7.5577879,66,19.31287193,76,22.09199524,5,NaN,6,NaN,22,6.43762398,19,5.52299881,86,25.1652565,123,35.75415039,92,26.92097282,86,24.99883652,22,6.43762398,11,3.19752574,5,NaN,9,NaN
s4_geo.fid--2c346315_187d5bf56ff_59a4,102,Central Coast,102,2019-09-29T00:00:00,249,72.86219788,238,69.18283081,24,7.02286243,18,5.23231459,11,3.21881199,13,3.77889395,17,4.97452736,30,8.72052479,74,21.65382576,94,27.3243103,12,3.51143122,20,5.81368303,10,2.92619252,19,5.52299881,92,26.92097282,101,29.35910034,76,22.23906326,93,27.03362656,18,5.26714659,20,5.81368303,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_59a5,102,Central Coast,102,2019-10-06T00:00:00,186,54.42718124,260,75.57788086,10,2.92619252,17,4.94163036,10,2.92619252,21,6.10436726,27,7.90072012,36,10.46463013,77,22.53168297,81,23.54541588,12,3.51143122,11,3.19752574,15,4.3892889,20,5.81368303,85,24.8726368,116,33.71936035,98,28.67668724,96,27.9056797,18,5.26714659,10,2.90684152,5,NaN,9,NaN
s4_geo.fid--2c346315_187d5bf56ff_59a6,102,Central Coast,102,2019-10-13T00:00:00,221,64.66885376,228,66.27598572,14,4.09666967,13,3.77889395,11,3.21881199,14,4.06957817,30,8.7785778,42,12.20873356,88,25.75049591,82,23.83610153,13,3.80405045,14,4.06957817,20,5.85238552,20,5.81368303,110,32.18811798,106,30.81251907,95,27.79883003,93,27.03362656,8,NaN,12,3.48820996,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_59a7,102,Central Coast,102,2019-10-20T00:00:00,238,69.64338684,212,61.62504196,18,5.26714659,27,7.84847212,19,5.55976582,13,3.77889395,28,8.19333935,32,9.30189323,77,22.53168297,94,27.3243103,14,4.09666967,16,4.65094662,18,5.26714659,20,5.81368303,98,28.67668724,107,31.10320473,106,31.01764107,86,24.99883652,11,3.21881199,10,2.90684152,6,NaN,6,NaN
s4_geo.fid--2c346315_187d5bf56ff_59a8,102,Central Coast,102,2019-10-27T00:00:00,193,56.47551727,203,59.00888443,22,6.43762398,18,5.23231459,15,4.3892889,20,5.81368303,28,8.19333935,42,12.20873356,82,23.99477959,86,24.99883652,10,2.92619252,15,4.36026239,12,3.51143122,13,3.77889395,102,29.84716415,98,28.4870472,89,26.04311562,114,33.13799286,NaN,NaN,17,4.94163036,5,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_59a9,102,Central Coast,102,2019-11-03T00:00:00,180,52.67146683,206,59.88093567,22,6.43762398,25,7.26710367,11,3.21881199,14,4.06957817,32,9.36381626,32,9.30189323,81,23.70215988,76,22.09199524,13,3.80405045,11,3.19752574,14,4.09666967,13,3.77889395,100,29.26192665,112,32.55662537,102,29.84716415,100,29.06841469,12,3.51143122,17,4.94163036,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_59aa,102,Central Coast,102,2019-11-10T00:00:00,185,54.13456345,234,68.0200882,17,4.97452736,36,10.46463013,11,3.21881199,15,4.36026239,20,5.85238552,19,5.52299881,75,21.94644547,64,18.60378647,13,3.80405045,12,3.48820996,20,5.85238552,18,5.23231459,97,28.38406944,87,25.28952026,83,24.28739929,98,28.4870472,13,3.80405045,14,4.06957817,8,NaN,NaN,NaN
