"id","date","vaccine","sentiment"
"1479080175572643848","20220106","novavax","negative"
"1479080971819307012","20220106","none","neutral"
"1479083160054894592","20220106","none","negative"
"1479085103376654339","20220106","novavax","negative"
"1479081284357877763","20220106","",""
"1479086291925016580","20220106","none","neutral"
"1479088025195872263","20220106","none","negative"
"1479090072683102218","20220106","pfizer","negative"
"1479090543309197312","20220106","none","neutral"
"1479095834159435790","20220106","none","neutral"
"1479095860147286017","20220106","none","negative"
"1479093465531093001","20220106","",""
"1479098715092570117","20220106","none","neutral"
"1479100837464985600","20220106","none","neutral"
"1479103335999238146","20220106","moderna","neutral"
"1479105994844110854","20220106","none","neutral"
"1479107481313824770","20220106","none","neutral"
"1479111456217911310","20220106","none","neutral"
"1479113254513176589","20220106","novavax","negative"
"1479122525091029000","20220106","pfizer","negative"
"1479125539294113796","20220106","none","neutral"
"1479119631742689282","20220106","",""
"1479126282474442754","20220106","none","negative"
"1479127022806831104","20220106","moderna","positive"
"1479142331869634564","20220106","none","negative"
"1479149416204275713","20220106","none","negative"
"1479152269320884225","20220106","none","neutral"
"1479145818162556934","20220106","",""
"1479150773514608640","20220106","none","neutral"
"1479154316992671745","20220106","none","negative"
"1479155669827653632","20220106","moderna","positive"
"1479157666433826823","20220106","none","neutral"
"1479161831864344577","20220106","none","neutral"
"1479162671890976769","20220106","none","neutral"
"1479168182539620353","20220106","none","neutral"
"1479168190626234368","20220106","novavax","negative"
"1479169987348676608","20220106","none","neutral"
"1479177180294918155","20220106","none","neutral"
"1479177232341893120","20220106","none","neutral"
"1479172421966245891","20220106","",""
"1479178258830614531","20220106","none","neutral"
"1479177722874122245","20220106","novavax","positive"
"1479178260206407686","20220106","none","neutral"
"1479178317290901506","20220106","none","negative"
"1479179275118919685","20220106","none","neutral"
"1479182304136220673","20220106","none","neutral"
"1479182829674065922","20220106","none","neutral"
"1479183269379776512","20220106","none","neutral"
"1479184466576764929","20220106","none","neutral"
"1479186207825285120","20220106","moderna","positive"
"1479186887382163456","20220106","none","neutral"
"1479186093073317888","20220106","",""
"1479188454256746500","20220106","none","negative"
"1479188813108842496","20220106","none","neutral"
"1479188837918142470","20220106","none","neutral"
"1479189211727024129","20220106","none","neutral"
"1479191663599706113","20220106","none","neutral"
"1479191878297796609","20220106","none","neutral"
"1479192073295126533","20220106","none","neutral"
"1479192866962378755","20220106","moderna","positive"
"1479192984553803777","20220106","none","negative"
"1479193505465393152","20220106","none","neutral"
"1479195102937448448","20220106","none","neutral"
"1479193511203205120","20220106","",""
"1475599815706759172","20211227","",""
"1477951862477189120","20220103","none","neutral"
"1476675426516750338","20211230","",""
"1478314179563966465","20220104","novavax","negative"
"1478626282313109506","20220105","none","neutral"
"1478626750590377984","20220105","none","negative"
"1478837230135250946","20220105","none","negative"
"1478839015826608128","20220105","none","neutral"
"1478997100708831232","20220106","none","negative"
"1478844516199133185","20220105","",""
"1479021654101528577","20220106","none","neutral"
"1479005096763482112","20220106","moderna","positive"
"1479022315396501505","20220106","none","neutral"
"1479076624679063555","20220106","none","negative"
"1479101687109324800","20220106","novavax","negative"
"1479188384404758529","20220106","none","neutral"
"1479003769509720066","20220106","none","positive"
"1479183816342196225","20220106","",""
"1418482545088364553","20210723","",""
"1479075344644665345","20220106","",""
"1479093384975462401","20220106","",""
"1463617230772400129","20211124","none","positive"
"1479192236235526146","20220106","",""
"1474346266138071041","20211224","none","neutral"
"1476459775449714688","20211230","none","neutral"
"1483210367979626497","20220117","none","neutral"
"1483242327309438977","20220118","none","neutral"
"1485453553556766727","20220124","none","neutral"
"1487244251419516930","20220129","none","neutral"
"1487300687213912066","20220129","none","neutral"
"1487586488179388417","20220130","none","neutral"
"1487825855602737157","20220130","none","neutral"
"1487924503099625472","20220130","none","neutral"
"1487937570910896128","20220130","none","neutral"
"1487727864296648705","20220130","",""
"1487945334210719744","20220131","none","negative"
"1487953932194172938","20220131","none","negative"
"1487957621743108097","20220131","none","negative"
"1487982563972894721","20220131","none","negative"
"1488015347714502656","20220131","none","neutral"
"1488017335596482565","20220131","none","neutral"
"1488018789677805576","20220131","none","neutral"
"1488033142258946051","20220131","none","neutral"
"1488040336253501441","20220131","none","negative"
"1488048401749102592","20220131","pfizer","positive"
"1488019447009153027","20220131","",""
"1488052117084737536","20220131","none","neutral"
"1488055967954911232","20220131","novavax","positive"
"1488068832971280385","20220131","none","neutral"
"1488071525966434305","20220131","none","neutral"
