tot_non_indigenous_p, tot_tot_p, tot_indigenous_p, sa2_code_2021
12826,13303,133,"214011376"
12469,13366,119,"214021377"
5504,5995,33,"214021378"
22172,23970,468,"214021379"
18099,18734,94,"214021381"
19093,19846,119,"214021382"
18061,19811,185,"214021383"
21145,22944,311,"214021384"
17710,18522,187,"214021385"
7869,8500,181,"215011386"
2920,3204,45,"215011387"
15831,16985,335,"215011388"
3235,3471,25,"215011389"
6488,6956,105,"215011390"
3162,3453,67,"215011391"
7593,8504,163,"215011392"
2473,2766,35,"215011393"
5929,6501,111,"215011394"
6935,7700,185,"215021395"
4275,4976,228,"215021396"
3282,3726,84,"215021398"
5426,6138,240,"215021399"
15582,18027,1172,"215021469"
14710,16408,704,"215021470"
5569,6184,92,"215031400"
6078,6719,119,"215031401"
3554,3960,153,"215031402"
3036,3740,278,"215031403"
10030,11186,473,"215031404"
5637,6477,220,"215031405"
14132,15636,637,"216011406"
10222,11121,285,"216011407"
3506,3927,75,"216011408"
3666,4016,83,"216011409"
3712,4193,94,"216011410"
5911,6465,139,"216021411"
2558,2843,74,"216021412"
11210,12555,321,"216021413"
8089,8661,106,"216021414"
6935,8312,615,"216031415"
17900,19928,747,"216031416"
3628,4017,81,"216031418"
9310,10346,278,"216031419"
8022,8920,255,"217011420"
9580,10346,262,"217011421"
10250,11230,332,"217011422"
5760,6301,126,"217011423"
3238,3491,31,"217031471"
11994,12756,197,"217031472"
5223,5669,58,"217031473"
4933,5395,76,"217031474"
6615,7180,95,"217031475"
3503,4008,57,"217031476"
6417,7018,139,"217041477"
9275,10014,158,"217041478"
20878,22405,470,"217041479"
12417,13337,236,"217041480"
